1500 5000
765753 682 4
989518 1288 2
816537 682 5
303989 882 4
398586 899 4
547377 122 5
602897 964 6
929779 1376 5
247182 188 1
267971 699 6
355407 690 6
656579 147 5
372052 434 2
749861 1204 6
699448 1089 1
75899 1415 4
93245 1098 3
186188 909 5
509065 1386 5
638290 342 2
124871 301 2
800972 1083 5
775143 745 4
917170 1170 4
403810 889 6
365394 153 4
440036 632 2
984884 1213 6
314799 1233 4
862755 888 5
399128 1177 5
846948 1077 5
167867 1198 5
170343 827 6
940755 1088 5
876876 817 6
837117 1119 4
679737 1409 5
673249 1052 3
424925 820 4
661797 1403 4
32280 1309 1
677159 1037 1
353061 266 1
726806 1203 5
467087 996 6
352558 1271 6
935945 1079 4
577851 322 6
962783 390 3
557583 777 3
478670 1230 4
839203 177 6
909447 447 2
125632 1349 4
477249 1349 2
153473 1217 2
291065 1419 6
299302 339 2
440697 1258 2
380670 1215 3
151679 871 5
642695 60 4
680984 1163 3
578393 577 2
391536 1090 1
24854 1344 2
802564 723 5
850608 1360 1
527192 842 4
309233 1343 5
631983 795 5
81148 285 5
726554 1354 6
617519 173 5
435783 116 1
30023 1062 3
121484 1060 5
299522 1051 3
706059 1421 6
729392 1165 4
733478 425 5
279252 759 4
802865 754 3
574137 537 2
473631 690 2
807441 1296 6
874594 559 4
718016 1399 5
365394 1239 4
495308 1170 2
65974 1177 4
75460 1230 4
229874 897 5
843651 897 3
938923 244 6
497499 541 5
606068 1322 3
802032 1105 4
829808 844 4
509065 1435 5
495385 406 2
233647 1391 4
256375 753 6
221933 940 2
757132 1334 1
785091 943 6
219394 740 4
968678 173 5
736191 606 5
926611 863 4
431706 957 1
69169 1174 2
641877 986 1
767196 207 2
810577 69 5
225847 1027 1
715007 687 4
714498 1275 2
448549 1404 2
752860 472 6
138345 986 3
814259 1192 6
160603 1440 4
957872 1418 3
392901 728 6
731473 548 5
958825 431 4
349937 1073 6
667697 1298 6
15678 1240 2
146723 1381 2
944721 1121 2
856649 1170 2
559984 834 3
489643 1017 3
352558 1047 6
461091 1222 6
242149 29 6
812543 205 3
839916 224 5
796307 138 3
177932 1229 6
491660 1007 2
741883 135 1
634671 337 1
741409 1266 1
518165 1188 4
334628 1133 3
656579 1051 5
667902 1232 3
429248 241 4
252400 977 5
760983 1185 1
70679 1085 2
209234 479 4
949736 1421 1
737175 1270 6
994145 1320 4
891796 356 4
597818 178 6
625966 201 2
776896 746 3
58720 836 4
596420 404 5
114674 512 2
790515 1330 2
378221 1431 4
246173 1439 1
376828 950 4
649386 1265 3
802967 1239 3
142618 403 5
687663 1043 3
350232 83 6
597586 425 2
136036 1028 5
323143 823 1
787739 715 3
470228 127 2
540871 1067 2
290749 77 6
846542 275 3
600315 314 2
341435 620 1
730929 314 1
715600 200 4
353670 1400 2
876972 1421 2
814182 251 6
987984 1291 4
862960 1378 2
814062 1334 4
594606 884 3
693820 987 2
309613 1292 4
478062 1003 5
7157 1393 5
74054 1408 2
569714 50 4
931007 792 6
316173 1012 1
751014 1204 2
367916 644 4
938954 1068 5
651958 688 3
394300 1381 1
705185 804 4
324287 112 5
865651 1305 4
611621 1354 4
314096 495 6
945757 925 5
162768 0 5
159487 1119 5
814375 1354 5
309725 81 4
531443 1357 5
964365 1399 4
921099 1152 5
938255 411 5
144282 1334 2
729244 1342 6
968977 695 3
256736 1183 5
780443 1003 5
40449 1104 3
933537 1036 3
460479 1311 5
36627 1325 1
773390 355 6
892144 1414 2
882118 1424 5
483988 928 4
897086 1440 4
581941 1367 2
620632 751 1
467618 1314 6
139187 1123 1
312273 923 4
36206 1273 4
860222 1034 2
793203 1140 3
